genome_bin,n,signed_median_bp,abs_median_bp,abs_p90_bp
0-10%,2420327,1.6228350158780813,489.02645387301163,5775.100745013116
10-20%,1846447,-0.7504269123310223,510.2327641592128,6390.596511507155
20-30%,2290130,8.120823693985585,533.0234963188414,5877.4167549337735
30-40%,2407208,-10.72633662133012,544.3246546407463,6251.881230876504
40-50%,1974232,6.947355887037702,465.5862988193985,5335.90793021853
50-60%,2449369,-3.796120683196932,542.7593234470114,6022.971948711685
60-70%,2818378,6.5359759603161365,516.5852364667226,5565.622833381603
70-80%,3549219,0.2053246977739036,622.6472172909416,5759.45607220894
80-90%,2486444,1.867923035286367,591.9886738373898,6689.590887771829
90-100%,2409016,-3.2662208089604974,466.42734743468463,5518.929819470737
