local_ratio_decile,n,local_over_mean_median,signed_median_residual_bp,abs_median_residual_bp,abs_p90_residual_bp
D1,2281607,0.5690307950948561,0.9653314924798906,1577.6250972197158,10758.925058146066
D2,2281607,0.7422334994696399,1.2237375751137733,503.5465072337538,2019.4712721169933
D3,2281606,0.848259959317624,1.3656342981848866,486.37044616225467,1950.6463565906743
D4,2281607,0.9741916456251528,4.196159408427775,446.6460644896142,1986.0215151435723
D5,2281607,1.1406255921094983,5.084944083355367,399.61544303246774,2146.269169062847
D6,2281606,1.3764708053005088,3.7689405206474476,361.21956921136007,2484.9089479027316
D7,2281607,1.7352867368749556,3.2143760807812214,335.87108633323805,3321.1179012997077
D8,2281606,2.3333455213190177,-1.7821400896646082,359.9608472051914,4770.127313835343
D9,2281607,3.5644316971508547,-7.604470383841544,542.6918386584148,7037.179310619368
D10,2281607,8.42387010277961,-5.437345569022,2446.854356340482,12472.29376051397
