vel_decile,n,velocity_median_bp_per_ms,signed_median_residual_bp,abs_median_residual_bp,abs_p90_residual_bp
D1,2465112,241.85707,-1.8459102134002023,3782.0489015288185,14201.172662013487
D2,2465050,397.79886,-4.2608313402161,1210.1229410562664,10589.487814634005
D3,2465083,477.33362,0.5326951548922807,775.2478725756519,7355.165303815629
D4,2465080,544.09467,0.24247902966453694,628.2096882642509,5580.658572049165
D5,2465094,610.0563,0.9482197382021695,533.1493820219766,4298.157318831844
D6,2465047,680.44904,1.3692502528429031,460.01439064368606,3284.8004216725467
D7,2465089,759.37976,2.011572805698961,394.4398609669879,2444.6299345198104
D8,2465071,854.08325,1.6404553190805018,340.71477877441794,1822.621603667736
D9,2465083,979.3644,0.8597196922637522,292.02956657577306,1335.2696192075505
D10,2465061,1192.6583,0.3645217778393999,266.03369708778337,1059.3982689948753
