stratum,value,n,signed_median_bp,abs_median_bp,abs_p90_bp,frac_gt_250_bp,frac_gt_1000_bp
concentration_group,low,6469651,1.1865204176865518,503.70137669332325,5295.233817195054,0.6948884878025106,0.32042903087044416
concentration_group,low_dil,8224379,0.3850453654304147,487.1584323991556,4888.03132060124,0.6896275086544528,0.30664844117713935
concentration_group,std,9956740,0.5868932751764078,598.4591424369719,6983.35820096983,0.7251888670388099,0.3751025938208691
biochem_flagged_good,False,19359245,0.7038595085032284,526.2749130874872,5848.325679383245,0.7029261729989986,0.3354347754780726
biochem_flagged_good,True,5291525,0.6016335999593139,552.2490106516634,6083.898440118558,0.7143197849391244,0.3469873051719495
excel_instrument,202.0,5949380,0.8612825674936175,530.6624295719666,5735.1495211234815,0.7080495782753833,0.33210990052744993
excel_instrument,429.0,2122347,0.19248984195291996,434.41050728131086,4322.344821766065,0.6613880765020989,0.2785868663324141
excel_instrument,433.0,16579043,0.6944297384470701,547.1696571214125,6135.74433463855,0.7100415868394816,0.3475924394429763
snr_tercile,SNR_high,8157425,0.9116210567299277,500.2778948218329,5099.00072431029,0.6949154911016651,0.3153638556284612
snr_tercile,SNR_low,8758307,0.3290888275951147,555.1901070358581,6498.538477015217,0.7110286268796012,0.35481434939423795
snr_tercile,SNR_mid,7735038,0.8348947232589126,542.2531697689556,5987.33230505432,0.7099943141843646,0.3425614715790666
