tp,fp,fn,tn,n,precision,recall,specificity,f1,mcc,cohen_kappa,classifier,label,stratum_col,stratum_value
6469655,2100714,0,405691,8976060,0.7548863998737977,1.0,0.16186171029821597,0.8603250899067715,0.3495528626179964,0.21776616834437704,attr_accepted,is_assigned,concentration_group,low
8224379,2570392,0,435963,11230734,0.7618854536145324,1.0,0.1450138124073837,0.864852425055799,0.33239120663214333,0.19898336721311577,attr_accepted,is_assigned,concentration_group,low_dil
9956740,4573139,0,938403,15468282,0.6852596638967193,1.0,0.17026142593125482,0.8132392634524187,0.34157471731413,0.20896584312243305,attr_accepted,is_assigned,concentration_group,std
6469655,780326,0,1726079,8976060,0.8923685455175676,1.0,0.6886672345450955,0.9431234181431636,0.7839291922339748,0.761260895972914,broad_eligible,is_assigned,concentration_group,low
8224379,979345,0,2027010,11230734,0.8935925284156717,1.0,0.674241731265935,0.9438065634567343,0.7762070428727678,0.7519480323702341,broad_eligible,is_assigned,concentration_group,low_dil
9956740,1349786,0,4161756,15468282,0.8806188567558241,1.0,0.7550983009836448,0.9365202880874461,0.8154469955493627,0.7987654690861258,broad_eligible,is_assigned,concentration_group,std
19359245,7325449,0,1396834,28081528,0.7254812440419965,1.0,0.16014545733038013,0.8409030773844088,0.3408555788185352,0.2081783632081954,attr_accepted,is_assigned,biochem_flagged_good,False
5291529,1918796,0,383223,7593548,0.7338821759074661,1.0,0.16647256169475577,0.8465190842894182,0.3495300356270363,0.2177408238931468,attr_accepted,is_assigned,biochem_flagged_good,True
19359245,2503173,0,6219110,28081528,0.8855033784460621,1.0,0.7130140125010849,0.9392753028911037,0.7945919185022544,0.7740412930964417,broad_eligible,is_assigned,biochem_flagged_good,False
5291529,606284,0,1695735,7593548,0.8972018950075222,1.0,0.7366294544050245,0.9458159380596285,0.8129608492483172,0.7958374574812845,broad_eligible,is_assigned,biochem_flagged_good,True
5949380,2252717,0,403710,8605807,0.725348651692366,1.0,0.1519748142900219,0.8408140012523074,0.33201615417998126,0.19857913645059383,attr_accepted,is_assigned,excel_instrument,202.0
2122347,651706,0,107735,2881788,0.7650708187622948,1.0,0.14186092138823161,0.8669009884813332,0.3294444585614818,0.19581480661746803,attr_accepted,is_assigned,excel_instrument,429.0
16579047,6339822,0,1268612,24187481,0.723379805521817,1.0,0.16673759672489766,0.8394897087734958,0.34729614206327086,0.21526510396040507,attr_accepted,is_assigned,excel_instrument,433.0
5949380,798770,0,1857657,8605807,0.8816312619014101,1.0,0.6993066250267747,0.9370924896416863,0.7851946142698456,0.7627824540249906,broad_eligible,is_assigned,excel_instrument,202.0
2122347,267354,0,492087,2881788,0.8881224052716219,1.0,0.6479594859903535,0.940746640993181,0.7585956348518732,0.7305354082847649,broad_eligible,is_assigned,excel_instrument,429.0
16579047,2043333,0,5565101,24187481,0.8902754105543974,1.0,0.7314384274083208,0.9419531202527669,0.8069582679768549,0.7887462263557223,broad_eligible,is_assigned,excel_instrument,433.0
8157429,2577920,0,471348,11206697,0.7598662139442323,1.0,0.15457742645120073,0.8635499766101099,0.3427217002156661,0.21022382332315084,attr_accepted,is_assigned,snr_tercile,SNR_high
7995603,3506365,0,721190,12223158,0.6951508646172551,1.0,0.17059269483188272,0.820164009147601,0.34436558961337993,0.2120310524129077,attr_accepted,is_assigned,snr_tercile,SNR_low
8497742,3159960,0,587519,12245221,0.7289380016747726,1.0,0.15677712937150548,0.8432205214630846,0.3380544444203811,0.2051203011560636,attr_accepted,is_assigned,snr_tercile,SNR_mid
8157429,970013,0,2079255,11206697,0.8937256462434929,1.0,0.6818866036045372,0.9438808076727909,0.7806532812146796,0.7573159493260717,broad_eligible,is_assigned,snr_tercile,SNR_high
7995603,1074916,0,3152639,12223158,0.8814934404525254,1.0,0.745735773987565,0.9370146305059814,0.8107781404803817,0.7932624413135605,broad_eligible,is_assigned,snr_tercile,SNR_low
8497742,1064528,0,2682951,12245221,0.8886741328157436,1.0,0.7159348991682142,0.9410560746028297,0.7976420410628063,0.7776800656837943,broad_eligible,is_assigned,snr_tercile,SNR_mid
